GID_3,populasi
IDN.7.1.5_1,563203
IDN.7.1.6_1,159316
IDN.7.1.7_1,81997
IDN.7.1.8_1,96508
IDN.7.2.1_1,88696
IDN.7.2.2_1,124044
IDN.7.2.3_1,41011
IDN.7.2.4_1,130153
IDN.7.2.5_1,118675
IDN.7.2.6_1,92303
IDN.7.2.7_1,80622
IDN.7.2.8_1,182477
IDN.7.3.1_1,266888
IDN.7.3.2_1,346630
IDN.7.3.3_1,48108
IDN.7.3.4_1,211651
IDN.7.3.5_1,263692
IDN.7.3.6_1,129926
IDN.7.3.7_1,146924
IDN.7.3.8_1,331454
IDN.7.3.9_1,210887
IDN.7.3.10_1,67922
IDN.7.3.11_1,86295
IDN.7.3.12_1,162195
IDN.7.4.1_1,683550
IDN.7.4.2_1,339106
IDN.7.4.3_1,246930
IDN.7.4.4_1,408687
IDN.7.4.5_1,196236
IDN.7.4.6_1,231514
IDN.7.4.7_1,310761
IDN.7.4.8_1,94569
IDN.7.4.9_1,208325
IDN.7.4.10_1,291225
IDN.7.5.1_1,477062
IDN.7.5.2_1,12233
IDN.7.5.3_1,285840
IDN.7.5.4_1,175672
IDN.7.5.5_1,178365
IDN.7.5.6_1,362571
IDN.7.5.7_1,348598
IDN.7.6.1_1,13846
IDN.7.6.2_1,6935
IDN.8.1.1_1,35974
IDN.8.1.2_1,23943
IDN.8.1.3_1,7603
IDN.8.1.4_1,13222
IDN.8.1.5_1,22921
IDN.8.1.6_1,53368
IDN.8.1.7_1,30182
IDN.8.1.8_1,40106
IDN.8.2.1_1,37649
IDN.8.2.2_1,6780
IDN.8.2.3_1,4358
IDN.8.2.4_1,45603
IDN.8.2.5_1,32020
IDN.8.2.7_1,41666
IDN.8.2.6_1,15467
IDN.8.2.8_1,19166
IDN.8.2.9_1,17461
IDN.8.2.10_1,20715
IDN.8.2.12_1,38775
IDN.8.2.11_1,39054
IDN.8.2.13_1,7069
IDN.8.2.14_1,44509
IDN.8.2.16_1,12555
IDN.8.2.15_1,12527
IDN.8.2.17_1,12685
IDN.8.3.1_1,10524
IDN.8.3.2_1,202575
IDN.8.3.3_1,86644
IDN.8.3.4_1,75627
IDN.8.3.5_1,270396
IDN.8.3.6_1,16840
IDN.8.3.7_1,18506
IDN.8.3.8_1,114411
IDN.8.4.2_1,10871
IDN.8.4.1_1,9249
IDN.8.4.3_1,6936
IDN.8.4.5_1,12516
IDN.8.4.4_1,0
IDN.8.4.6_1,10099
IDN.8.4.7_1,5780
IDN.8.4.8_1,8197
IDN.8.4.9_1,23417
IDN.8.4.10_1,107620
IDN.8.4.11_1,10764
IDN.8.4.12_1,12771
IDN.8.4.13_1,10477
IDN.8.5.2_1,96501
IDN.8.5.1_1,6641
IDN.8.5.3_1,8169
IDN.8.5.4_1,30377
IDN.8.5.5_1,17651
IDN.8.5.6_1,25762
IDN.8.5.7_1,6506
IDN.8.5.8_1,25365
IDN.8.5.11_1,50582
IDN.8.5.9_1,20119
IDN.8.5.10_1,16846
IDN.8.5.12_1,5810
IDN.8.5.13_1,8306
IDN.8.5.14_1,8108
IDN.8.5.15_1,7826
IDN.8.5.16_1,23503
IDN.8.5.23_1,26634
IDN.8.5.17_1,6752
IDN.8.5.18_1,6805
IDN.8.5.19_1,12071
IDN.8.5.20_1,27697
IDN.8.5.21_1,5297
IDN.8.5.22_1,5940
IDN.8.5.24_1,3714
IDN.8.6.1_1,110301
IDN.8.6.3_1,44373
IDN.8.6.2_1,64800
IDN.8.6.4_1,55798
IDN.8.6.5_1,36746
IDN.8.6.6_1,75218
IDN.8.6.7_1,46754
IDN.8.6.8_1,73632
IDN.8.7.1_1,23273
IDN.8.7.2_1,17390
IDN.8.7.3_1,19622
IDN.8.7.4_1,15997
IDN.8.7.5_1,34980
IDN.8.7.6_1,25397
IDN.8.7.7_1,23169
IDN.8.7.8_1,49849
IDN.8.7.9_1,87340
IDN.8.7.10_1,29097
IDN.8.8.2_1,13295
IDN.8.8.3_1,15325
IDN.8.8.4_1,15143
IDN.8.8.5_1,43064
IDN.8.8.6_1,13963
IDN.8.9.1_1,35037
IDN.8.9.2_1,30198
IDN.8.9.3_1,16009
IDN.8.9.4_1,4262
IDN.8.9.5_1,49649
IDN.8.9.6_1,50614
IDN.8.9.7_1,7975
IDN.8.9.8_1,22926
IDN.8.9.9_1,1075
IDN.8.9.10_1,7714
IDN.8.9.11_1,43604
IDN.8.9.12_1,38514
IDN.8.9.13_1,45241
IDN.8.10.1_1,18280
IDN.8.10.2_1,24332
IDN.8.10.3_1,30693
IDN.8.10.4_1,2281
IDN.8.10.5_1,3364
IDN.8.10.7_1,20015
IDN.8.10.6_1,16735
IDN.8.10.8_1,7452
IDN.8.10.9_1,7862
IDN.8.10.10_1,48174
IDN.8.10.11_1,15321
IDN.8.10.12_1,11277
IDN.8.11.1_1,15192
IDN.8.11.2_1,95778
IDN.8.11.3_1,33986
IDN.8.11.4_1,58152
IDN.8.11.5_1,5742
IDN.8.11.6_1,17902
IDN.8.11.7_1,37811
IDN.8.11.8_1,54999
IDN.8.11.9_1,19895
IDN.8.11.10_1,41198
IDN.8.11.12_1,17097
IDN.8.11.11_1,14042
IDN.9.2.1_1,78019
IDN.9.2.2_1,172586
IDN.9.2.3_1,106373
IDN.9.2.4_1,64319
IDN.9.2.5_1,75732
IDN.9.2.6_1,93460
IDN.9.2.7_1,102532
IDN.9.2.8_1,28770
IDN.9.2.9_1,120149
IDN.9.2.10_1,78873
IDN.9.2.11_1,108373
IDN.9.2.12_1,127959
IDN.9.2.13_1,94402
IDN.9.2.14_1,104039
IDN.9.2.15_1,110927
IDN.9.2.16_1,94770
IDN.9.2.17_1,122290
IDN.9.2.18_1,104832
IDN.9.2.19_1,131004
IDN.9.2.20_1,111622
IDN.9.2.21_1,76316
IDN.9.2.22_1,56568
IDN.9.2.23_1,79796
IDN.9.2.24_1,74937
IDN.9.2.25_1,310317
IDN.9.2.26_1,117745
IDN.9.2.27_1,90879
IDN.9.2.28_1,123102
IDN.9.2.29_1,184316
